,ACCT_ID_M,CUST_ID,STREAMING_SERVICE,ACCT_TYPE,SERVICE_TYPE,CONT_TENURE_MTHS,CUSTOMER_AGE,NUM_CUSTOMER_BILLABLE_ACCOUNTS,CONSUME_SPORTS_SUBSIDISED,TOTAL_DISCOUNT_PERCENT
1943949,3846959,8296376,NETFLIX,INDIVIDUAL,SPORTS,112,68.0,1,0,20
611445,16140715,4936124,STAN,INDIVIDUAL,SPORTS,147,57.0,2,1,14
389315,23260413,22361642,NETFLIX,INDIVIDUAL,SPORTS,22,34.0,2,0,0
592391,6712885,5847644,NETFLIX,INDIVIDUAL,ENTERTAINMENT,112,39.0,2,0,8
1727461,24365777,168806882,NETFLIX,INDIVIDUAL,ENTERTAINMENT,8,73.0,2,0,16
823188,1040917,7683443,NETFLIX,INDIVIDUAL,SPORTS,110,53.0,1,0,0
1831674,14580899,3603848,STAN,INDIVIDUAL,ENTERTAINMENT,91,52.0,2,0,13
1643356,18234319,23698724,STAN,INDIVIDUAL,SPORTS,60,35.0,2,0,10
1547458,21290507,161048726,DISNEY,INDIVIDUAL,SPORTS,35,63.0,1,1,16
211216,19856813,124207073,NETFLIX,INDIVIDUAL,SPORTS,47,,2,0,0
1942475,13404949,7288985,NETFLIX,INDIVIDUAL,SPORTS,112,,2,0,22
780207,21798999,160843484,NETFLIX,INDIVIDUAL,SPORTS,30,42.0,2,0,0
1968056,22677699,164239004,NETFLIX,INDIVIDUAL,ENTERTAINMENT,22,46.0,2,0,8
995149,25406177,174051581,NETFLIX,INDIVIDUAL,SPORTS,1,59.0,1,1,0
696343,18963311,69504659,STAN,INDIVIDUAL,ENTERTAINMENT,54,57.0,2,0,11
1875185,22757575,967325,STAN,INDIVIDUAL,SPORTS,22,61.0,2,0,0
248634,19548891,119917100,STAN,INDIVIDUAL,ENTERTAINMENT,50,36.0,2,0,11
1170955,20618057,150817817,NETFLIX,INDIVIDUAL,ENTERTAINMENT,41,,2,0,22
1282636,22181947,163458968,NETFLIX,INDIVIDUAL,ENTERTAINMENT,27,,113,0,0
481752,19369417,18800078,AMAZON PRIME,INDIVIDUAL,SPORTS,50,60.0,2,0,20
2179283,22649435,164863118,STAN,INDIVIDUAL,ENTERTAINMENT,23,28.0,2,0,11
1307873,22429915,151371161,STAN,INDIVIDUAL,ENTERTAINMENT,25,40.0,2,0,11
1028891,24339921,18809630,STAN,INDIVIDUAL,ENTERTAINMENT,10,65.0,2,0,27
1783553,25099709,173350631,NETFLIX,INDIVIDUAL,SPORTS,3,58.0,1,0,0
494926,1078949,7445738,NETFLIX,INDIVIDUAL,ENTERTAINMENT,95,36.0,2,0,8
403403,24540883,169359836,NETFLIX,INDIVIDUAL,SPORTS,8,38.0,1,0,0
1914020,21536791,161781002,NETFLIX,INDIVIDUAL,SPORTS,32,77.0,2,0,0
2188867,9277737,7249514,NETFLIX,INDIVIDUAL,SPORTS,76,58.0,1,0,17
1539221,25066893,173277203,NETFLIX,INDIVIDUAL,ENTERTAINMENT,3,32.0,2,0,16
1889942,23997825,167730290,STAN,INDIVIDUAL,SPORTS,12,65.0,2,0,0
