,ACCT_ID_M,CHURN_DATE,CHURNED,CHURNED_30,CHURNED_90
1276636,19184659,,0,0,0
1297804,21193715,,0,0,0
397488,1060399,,0,0,0
44593,22247585,,0,0,0
363298,21463673,,0,0,0
2256966,22923563,,0,0,0
2121907,12950787,,0,0,0
1602438,7553269,,0,0,0
277131,6101335,,0,0,0
289209,13947947,,0,0,0
1246071,6138005,,0,0,0
592668,1356883,,0,0,0
1031635,25376981,,0,0,0
1705200,16772621,,0,0,0
1738032,7190251,,0,0,0
1909405,25130643,,0,0,0
1471739,23832157,,0,0,0
2076491,24622855,,0,0,0
1202913,3500469,,0,0,0
320804,21729041,,0,0,0
2180462,19076635,,0,0,0
1549010,7820981,,0,0,0
1291582,6376935,,0,0,0
1466016,21734799,,0,0,0
1570445,2404589,,0,0,0
891473,11536187,,0,0,0
2087612,19945357,,0,0,0
263688,19732617,,0,0,0
1678652,3029937,,0,0,0
521692,17994785,,0,0,0
750035,4901991,,0,0,0
850980,13341555,,0,0,0
815796,6138365,,0,0,0
1720118,17092425,,0,0,0
977422,21691839,,0,0,0
2014953,17911823,,0,0,0
1779027,21321243,,0,0,0
943240,13277199,,0,0,0
1035575,6441365,,0,0,0
579926,3080617,,0,0,0
187417,23461957,,0,0,0
2089776,4140297,,0,0,0
248098,10874323,,0,0,0
729812,20301827,,0,0,0
1515731,1388813,,0,0,0
893195,17210911,,0,0,0
1094209,8534493,,0,0,0
64941,14191253,,0,0,0
1943949,3846959,,0,0,0
611445,16140715,,0,0,0
389315,23260413,,0,0,0
592391,6712885,,0,0,0
1727461,24365777,,0,0,0
823188,1040917,,0,0,0
1831674,14580899,,0,0,0
1643356,18234319,,0,0,0
1547458,21290507,,0,0,0
211216,19856813,,0,0,0
1942475,13404949,,0,0,0
780207,21798999,,0,0,0
1968056,22677699,,0,0,0
995149,25406177,,0,0,0
696343,18963311,,0,0,0
1875185,22757575,,0,0,0
248634,19548891,,0,0,0
1170955,20618057,,0,0,0
1282636,22181947,,0,0,0
481752,19369417,,0,0,0
2179283,22649435,,0,0,0
1307873,22429915,,0,0,0
1028891,24339921,,0,0,0
1783553,25099709,,0,0,0
494926,1078949,,0,0,0
403403,24540883,,0,0,0
1914020,21536791,,0,0,0
2188867,9277737,,0,0,0
1539221,25066893,,0,0,0
637101,1431305,,0,0,0
330522,23258823,,0,0,0
2104101,15243105,,0,0,0
369279,25184357,,0,0,0
1583036,17762409,,0,0,0
162855,11206349,,0,0,0
1540917,24130097,,0,0,0
441005,25031251,,0,0,0
335047,23749881,,0,0,0
1576148,22286957,,0,0,0
386026,24733935,,0,0,0
744739,18070389,,0,0,0
598661,18123487,,0,0,0
1250440,25001281,,0,0,0
336228,9883559,,0,0,0
905356,14408735,,0,0,0
2148684,24892315,,0,0,0
628211,23810473,,0,0,0
492602,14087751,,0,0,0
563875,17170873,,0,0,0
1960620,3805687,,0,0,0
879641,4988929,,0,0,0
2282409,19541285,,0,0,0
863927,23140547,,0,0,0
323070,21883497,,0,0,0
855419,20915895,,0,0,0
650682,12556873,,0,0,0
1284337,24407191,,0,0,0
1458234,7637273,,0,0,0
540303,15689245,,0,0,0
1991714,20574091,,0,0,0
526070,462345,,0,0,0
1323875,24557789,,0,0,0
1922512,18658347,,0,0,0
761002,4018037,,0,0,0
1431415,23208853,,0,0,0
936876,25436229,,0,0,0
1212532,25588925,,0,0,0
996415,19966185,,0,0,0
1111840,12591381,,0,0,0
1860419,9613837,,0,0,0
1623952,14227667,,0,0,0
2181103,7549027,,0,0,0
874825,18805287,,0,0,0
2160959,17301055,,0,0,0
812395,12309267,,0,0,0
1228926,25264837,,0,0,0
62143,23371099,,0,0,0
228069,14242047,,0,0,0
1594942,1983687,,0,0,0
585997,15265769,,0,0,0
2151135,24542145,,0,0,0
1293914,40061,,0,0,0
1704239,511,,0,0,0
1552704,16112381,,0,0,0
287044,12802801,,0,0,0
2197775,11531865,,0,0,0
82544,22467175,,0,0,0
55708,25609581,,0,0,0
390902,3027799,,0,0,0
1300243,12354867,,0,0,0
250629,4262503,,0,0,0
2260540,24877267,,0,0,0
1109383,3245323,,0,0,0
37744,23138183,,0,0,0
1350644,19638389,,0,0,0
1064552,23821153,,0,0,0
614581,10327485,,0,0,0
857593,20608737,,0,0,0
1057424,16900919,,0,0,0
1281833,18597021,,0,0,0
883374,24110635,,0,0,0
499725,24801757,,0,0,0
2238490,23490129,,0,0,0
1975405,16052931,,0,0,0
2292513,4591919,,0,0,0
993224,25215925,,0,0,0
2291221,12733559,,0,0,0
2109380,21655815,,0,0,0
1946765,23720383,,0,0,0
1251348,25276897,,0,0,0
468701,3198247,,0,0,0
117346,8820661,,0,0,0
2322334,5662911,,0,0,0
982236,2675057,,0,0,0
434909,10891961,,0,0,0
629560,8870181,,0,0,0
737280,24964831,,0,0,0
288448,22520225,,0,0,0
1310575,19732095,,0,0,0
1565754,14689273,2022-09-22 00:00:00,1,0,1
1911495,22823771,,0,0,0
1109008,19140855,,0,0,0
1486735,24444517,,0,0,0
682957,25043865,,0,0,0
621058,20560329,,0,0,0
813101,21340379,,0,0,0
1831795,22366687,,0,0,0
2068156,22495541,,0,0,0
479972,25327407,,0,0,0
949993,12550231,,0,0,0
110403,23413427,,0,0,0
1715954,4466455,,0,0,0
385362,25528959,,0,0,0
304127,15938445,,0,0,0
621444,15376235,,0,0,0
437504,15209131,,0,0,0
1486076,24392727,,0,0,0
1338620,23711125,,0,0,0
890045,15173309,,0,0,0
2220837,25177177,,0,0,0
1511935,11176491,,0,0,0
777799,18213577,,0,0,0
2103502,13248125,,0,0,0
617178,11269939,,0,0,0
606499,23903273,,0,0,0
1186683,10296133,,0,0,0
2225288,7489409,,0,0,0
1121373,17638653,,0,0,0
492685,5468355,,0,0,0
2160141,22606311,,0,0,0
514887,24829459,,0,0,0
1181538,10126309,,0,0,0
1387832,21089433,,0,0,0
927131,5978353,,0,0,0
1947212,23002829,,0,0,0
1139985,24768399,,0,0,0
1514361,18629391,,0,0,0
369342,23141825,,0,0,0
1229642,23406877,,0,0,0
1451061,25164941,,0,0,0
1294124,22733629,,0,0,0
65044,17487093,,0,0,0
2225135,19603245,,0,0,0
1614786,25361249,,0,0,0
91655,23123811,,0,0,0
2039003,23436047,,0,0,0
1720763,25317833,,0,0,0
578426,18133535,,0,0,0
260297,25089151,,0,0,0
933096,10565829,,0,0,0
1451338,22850797,,0,0,0
691976,3043905,,0,0,0
628373,23591689,,0,0,0
476289,5596445,,0,0,0
167200,24468075,,0,0,0
394923,10348379,,0,0,0
1296158,18427947,,0,0,0
1303333,25129631,2022-05-30 00:00:00,0,0,0
1664380,21852787,,0,0,0
244590,21893321,,0,0,0
1639097,12872127,,0,0,0
2118164,2690037,,0,0,0
136627,16777683,,0,0,0
2179520,14644043,,0,0,0
2200518,21131901,,0,0,0
1113013,19960409,,0,0,0
1108803,18010863,,0,0,0
157270,2506419,,0,0,0
1795100,19326505,,0,0,0
1304558,23808653,,0,0,0
1138777,25430103,,0,0,0
1705272,3219275,2011-12-31 00:00:00,0,0,0
1931782,20835863,,0,0,0
1955221,22382365,,0,0,0
1392146,21783485,,0,0,0
876241,18704685,,0,0,0
751426,10043951,,0,0,0
990119,11841925,,0,0,0
1567666,14187227,,0,0,0
1144098,12200853,,0,0,0
234322,14184529,,0,0,0
492192,14266045,,0,0,0
741040,10489867,,0,0,0
1255322,14594155,,0,0,0
1113825,2051149,,0,0,0
1357892,23235913,,0,0,0
1116435,16866741,,0,0,0
1085840,24470399,,0,0,0
225157,24009721,,0,0,0
1967181,23394547,,0,0,0
1079888,4200729,,0,0,0
2034038,8852501,,0,0,0
1961691,14671635,,0,0,0
1641727,19144385,,0,0,0
2154233,1358465,,0,0,0
716646,23268427,,0,0,0
880808,24988987,,0,0,0
455647,20844445,,0,0,0
1928442,23543471,,0,0,0
1752712,8492951,,0,0,0
1115578,4417089,,0,0,0
1673193,22854787,,0,0,0
1081831,13416173,,0,0,0
471294,22245785,,0,0,0
65787,18224399,,0,0,0
2034108,3308653,,0,0,0
294595,24418873,,0,0,0
663743,24156389,,0,0,0
1148678,4230265,,0,0,0
311484,21984193,,0,0,0
1843233,13903347,,0,0,0
834584,601767,,0,0,0
942339,5859975,,0,0,0
1880484,3095835,,0,0,0
2114028,24002817,,0,0,0
1641620,7799203,,0,0,0
1908742,25537757,,0,0,0
1193193,25211449,,0,0,0
2052991,16351713,,0,0,0
2183829,23614469,,0,0,0
901836,24477541,,0,0,0
613022,22078433,,0,0,0
2319009,9134429,,0,0,0
398747,19910907,,0,0,0
1388112,4773697,,0,0,0
2126532,1702759,,0,0,0
1252755,2566587,,0,0,0
1880012,15451085,,0,0,0
2299593,13742299,,0,0,0
738506,24851769,,0,0,0
1557674,5562179,,0,0,0
2073437,6500655,,0,0,0
2158605,52123,,0,0,0
277265,24536553,,0,0,0
694685,9402421,,0,0,0
503692,13845479,,0,0,0
393184,19596543,,0,0,0
771430,22983693,,0,0,0
2091792,24117971,,0,0,0
2221199,25122567,,0,0,0
1497744,6717227,,0,0,0
726091,20670709,,0,0,0
1622946,17722265,,0,0,0
338863,19666891,,0,0,0
1304613,24032649,,0,0,0
669505,16197193,,0,0,0
1394812,23839175,,0,0,0
956121,24432175,,0,0,0
1020002,17643073,,0,0,0
1316668,21046293,,0,0,0
1251749,24330963,,0,0,0
1663299,7645051,,0,0,0
996167,22779215,,0,0,0
1857867,25425417,,0,0,0
2011223,20495177,,0,0,0
1176424,25574351,,0,0,0
522652,8829551,,0,0,0
363399,15595153,,0,0,0
1838139,24109867,,0,0,0
1307787,20799747,,0,0,0
1645833,3719855,,0,0,0
1259789,18849821,,0,0,0
1039625,21523771,,0,0,0
1794060,13908367,,0,0,0
1407898,12869945,,0,0,0
712511,2390563,,0,0,0
2076707,24625837,,0,0,0
213907,7984041,,0,0,0
722371,9296427,,0,0,0
70221,15924083,,0,0,0
1585290,11163891,,0,0,0
590594,23205331,,0,0,0
764300,24062577,,0,0,0
1831968,12466075,,0,0,0
554482,23588139,,0,0,0
908783,22107127,,0,0,0
1964330,24427453,,0,0,0
242083,23228637,,0,0,0
754717,23891369,,0,0,0
272168,11576867,,0,0,0
2282308,4573867,,0,0,0
1030294,25426343,,0,0,0
1032509,4514623,,0,0,0
200174,18761713,,0,0,0
915405,3858967,,0,0,0
1477668,13461985,,0,0,0
608074,16921153,,0,0,0
712340,13755867,,0,0,0
1606783,15335545,,0,0,0
841128,14635359,,0,0,0
1967513,23814943,,0,0,0
1844783,21322147,,0,0,0
1145864,20607505,,0,0,0
2225608,12333697,,0,0,0
374345,18616227,,0,0,0
2243381,7018809,,0,0,0
1973353,16072037,,0,0,0
526120,13426673,,0,0,0
777971,6528241,,0,0,0
1301557,18798919,,0,0,0
1907543,11001611,,0,0,0
1135069,18205027,,0,0,0
741379,5216583,,0,0,0
12086,22063865,,0,0,0
852636,6574077,,0,0,0
2196551,22527167,,0,0,0
321435,4065275,,0,0,0
1312195,21639547,,0,0,0
2178283,1346181,,0,0,0
379175,20658365,,0,0,0
1385743,18828691,,0,0,0
2120101,8203689,,0,0,0
184655,24077767,,0,0,0
793641,10929901,,0,0,0
438155,7848695,,0,0,0
357568,6955541,,0,0,0
885171,8405965,,0,0,0
882918,25440085,,0,0,0
480224,23471085,,0,0,0
1591195,12100357,,0,0,0
1154784,16459533,2019-05-31 00:00:00,0,0,0
363451,8935295,,0,0,0
10795,6899423,,0,0,0
1314626,18248025,,0,0,0
1317597,14808821,,0,0,0
17786,19403383,,0,0,0
1334021,8712395,,0,0,0
1105527,22878121,,0,0,0
2120978,20984241,,0,0,0
1479951,18712057,,0,0,0
1239217,20006015,,0,0,0
1943199,9763073,,0,0,0
1967334,25214869,,0,0,0
2123132,11060985,,0,0,0
247413,1656551,,0,0,0
2062399,6727625,,0,0,0
1137807,24897373,,0,0,0
2141093,11191329,,0,0,0
1440525,2911815,,0,0,0
2268338,12908185,,0,0,0
669484,18552903,,0,0,0
534057,25346263,,0,0,0
2017034,15866861,,0,0,0
2182816,19333641,,0,0,0
316672,23451417,,0,0,0
476484,23173033,,0,0,0
923316,22332437,,0,0,0
734487,24790601,2022-03-07 00:00:00,0,0,0
31473,20331769,,0,0,0
1367567,12969303,,0,0,0
957723,22783491,,0,0,0
949116,12057537,,0,0,0
1386475,11774251,,0,0,0
1186017,7816969,,0,0,0
940620,16261687,,0,0,0
1896570,8737235,,0,0,0
1906149,21176489,,0,0,0
1244021,8787943,,0,0,0
139085,676945,,0,0,0
81579,9445719,,0,0,0
1294164,5489457,,0,0,0
38738,24221327,,0,0,0
844903,23845455,,0,0,0
703390,1794203,,0,0,0
970766,18711349,,0,0,0
188065,24905603,,0,0,0
448521,21641997,,0,0,0
1691293,23475697,,0,0,0
1661562,20014771,,0,0,0
1674076,25268853,,0,0,0
1480895,8627081,,0,0,0
992623,25043577,,0,0,0
2003486,24795507,,0,0,0
602089,21704029,,0,0,0
102416,19414245,,0,0,0
1863194,4638193,,0,0,0
352626,23859667,,0,0,0
1093370,16415341,,0,0,0
1564593,19821203,,0,0,0
494735,21688813,,0,0,0
2322873,14882903,,0,0,0
746028,152441,,0,0,0
997710,22207427,,0,0,0
1090353,12967441,,0,0,0
970876,3568827,,0,0,0
651057,1068033,,0,0,0
2116277,12600165,,0,0,0
641954,24758327,,0,0,0
2038362,23128813,,0,0,0
1608096,830999,,0,0,0
1238825,15443011,,0,0,0
270027,19059173,,0,0,0
205026,25216263,,0,0,0
1478438,18297875,,0,0,0
196202,22433127,,0,0,0
568006,9512237,,0,0,0
2146471,19253465,,0,0,0
1344764,5750015,,0,0,0
1409020,7773979,,0,0,0
308345,21714683,,0,0,0
1730684,2227371,2022-09-05 00:00:00,1,0,1
1098340,16843607,,0,0,0
619674,2424371,,0,0,0
1435826,625747,,0,0,0
649771,1185325,,0,0,0
1675031,3895949,,0,0,0
1906325,11611857,,0,0,0
1349756,3791951,,0,0,0
125097,3804113,,0,0,0
2168171,23727715,,0,0,0
1777825,757067,,0,0,0
1807335,6316945,,0,0,0
2049225,5713163,,0,0,0
2182100,8302989,,0,0,0
11726,8558605,,0,0,0
867012,24501987,,0,0,0
2223639,24757419,,0,0,0
1566469,21477973,,0,0,0
1715350,1875705,,0,0,0
1974421,3614685,2011-06-10 00:00:00,0,0,0
1542304,23408299,,0,0,0
2266394,10993317,,0,0,0
1845614,7746797,,0,0,0
2119738,19403655,,0,0,0
714320,8401919,,0,0,0
796639,19287373,,0,0,0
128626,23514663,,0,0,0
2307988,20956671,,0,0,0
1581654,24307839,,0,0,0
228782,2219911,,0,0,0
1178510,24545869,,0,0,0
1958375,10235017,,0,0,0
1674203,24532793,,0,0,0
1648624,20962515,,0,0,0
1647105,9886733,,0,0,0
1283881,23368143,,0,0,0
946329,15803309,,0,0,0
741988,14898425,,0,0,0
332583,23310863,,0,0,0
701010,24125139,,0,0,0
2258451,23012419,,0,0,0
1606023,4449655,,0,0,0
1957144,8978775,,0,0,0
1574046,17391043,2020-05-27 00:00:00,0,0,0
1905849,22160243,,0,0,0
98851,3332217,,0,0,0
346610,10230269,,0,0,0
30584,21761621,,0,0,0
604350,5917779,,0,0,0
1651613,20706661,,0,0,0
2245189,9686761,,0,0,0
458037,24200619,,0,0,0
970628,16486495,,0,0,0
539435,16234611,,0,0,0
1657064,652073,,0,0,0
989076,13428495,,0,0,0
47468,1365079,,0,0,0
381069,516675,,0,0,0
1580810,24682239,,0,0,0
1759316,12426579,,0,0,0
106231,8283557,,0,0,0
2060621,18629243,,0,0,0
263306,18029651,,0,0,0
2036331,18624495,,0,0,0
1777542,7399263,,0,0,0
1155046,386093,,0,0,0
818321,17114481,,0,0,0
260060,24819545,,0,0,0
2163993,19328035,,0,0,0
789044,23937179,,0,0,0
486106,15951393,,0,0,0
850190,19728553,,0,0,0
326882,21731527,,0,0,0
986307,6202625,,0,0,0
818114,19087673,,0,0,0
1561558,23583063,,0,0,0
2207069,21490857,,0,0,0
1932710,22741443,,0,0,0
1311258,20799291,,0,0,0
708555,7696243,,0,0,0
2212709,20610425,,0,0,0
192394,11467897,,0,0,0
1750142,15740351,,0,0,0
1959152,1595253,,0,0,0
321057,18430975,,0,0,0
503022,21992531,,0,0,0
577705,1498851,,0,0,0
1457935,19946753,,0,0,0
218965,14062701,,0,0,0
612571,21437027,,0,0,0
1560091,24694089,,0,0,0
2243269,22843055,,0,0,0
675931,22718407,,0,0,0
987166,19158901,,0,0,0
1661333,18143245,,0,0,0
203518,24284157,,0,0,0
2249256,17759469,,0,0,0
307206,22037261,,0,0,0
1307407,24551781,,0,0,0
291394,22158631,,0,0,0
84723,15720869,,0,0,0
916986,23632511,,0,0,0
1669983,24251181,,0,0,0
97817,6151981,,0,0,0
415525,2637307,,0,0,0
979407,18671247,,0,0,0
130769,24446771,,0,0,0
1660485,15725479,,0,0,0
2209595,17093103,,0,0,0
1272082,21299753,,0,0,0
583617,20246697,,0,0,0
799752,20658079,,0,0,0
550643,23190891,,0,0,0
929059,14159375,,0,0,0
890684,17021795,,0,0,0
1237487,591985,,0,0,0
1413511,23827403,,0,0,0
1476616,19649039,,0,0,0
2297950,25528135,,0,0,0
716406,25110263,,0,0,0
863104,23822517,,0,0,0
1154256,9988473,,0,0,0
508346,5564539,,0,0,0
377109,21416713,,0,0,0
1897253,20618031,,0,0,0
1231021,24016991,,0,0,0
1364876,17866893,,0,0,0
933748,2710951,2013-09-05 00:00:00,0,0,0
908495,16780667,,0,0,0
1079630,8271997,,0,0,0
581709,21002215,,0,0,0
1158806,25572227,,0,0,0
2141700,21090965,,0,0,0
1045655,25507121,,0,0,0
1424854,6400781,,0,0,0
2199212,18604775,,0,0,0
2326460,296333,,0,0,0
406927,24500771,,0,0,0
715479,24486805,,0,0,0
1855787,23129743,,0,0,0
2313611,23305395,,0,0,0
2244510,15023037,,0,0,0
770262,24913781,,0,0,0
75533,22970463,,0,0,0
1083343,23449367,,0,0,0
187475,8524611,2016-07-23 00:00:00,0,0,0
1418348,17830977,,0,0,0
138478,21119211,,0,0,0
870111,21997095,,0,0,0
842558,8779339,,0,0,0
180010,1693451,,0,0,0
2033335,20063505,,0,0,0
859096,21259135,,0,0,0
492721,5166703,,0,0,0
682421,23366299,,0,0,0
135054,3938047,,0,0,0
70075,5031635,,0,0,0
1032188,24317759,,0,0,0
1237634,20961823,,0,0,0
1247824,23141749,,0,0,0
665844,22103845,,0,0,0
775029,5918463,,0,0,0
745566,19563551,,0,0,0
1283271,19357953,,0,0,0
1094147,20034459,,0,0,0
777192,20359461,,0,0,0
746149,22690557,,0,0,0
2051442,1244091,,0,0,0
1636908,24273217,,0,0,0
774397,25252639,,0,0,0
593587,13818985,,0,0,0
1615210,24270287,,0,0,0
577321,14317865,,0,0,0
824924,24047513,,0,0,0
1050044,24175997,,0,0,0
653911,21276449,,0,0,0
411128,20448235,,0,0,0
1131604,17651563,,0,0,0
2347778,6510301,2019-03-30 00:00:00,0,0,0
1821889,13165245,,0,0,0
544611,22596495,,0,0,0
1825847,20499303,,0,0,0
1603137,21964371,,0,0,0
1201580,9579077,,0,0,0
940503,25098329,,0,0,0
338603,6012815,,0,0,0
1129471,20539497,,0,0,0
154371,1378615,,0,0,0
719839,22693615,,0,0,0
1658844,15640299,,0,0,0
1977708,4778733,,0,0,0
1604439,19311045,,0,0,0
1011448,24465427,,0,0,0
1561809,23929481,,0,0,0
136496,17532233,,0,0,0
1852286,12018243,,0,0,0
1041993,20599187,,0,0,0
1291650,3362421,,0,0,0
2334362,24896469,,0,0,0
1314528,16085815,,0,0,0
2081629,14793441,,0,0,0
98055,18499041,,0,0,0
1351453,21841985,2020-06-12 00:00:00,0,0,0
2303276,758683,,0,0,0
1317705,1690035,,0,0,0
1533253,10138555,,0,0,0
152990,16927111,,0,0,0
793910,2758581,,0,0,0
2233187,17795391,2020-12-23 00:00:00,0,0,0
1870505,8839869,,0,0,0
46263,18744537,,0,0,0
2044849,5877173,,0,0,0
1318130,14574797,,0,0,0
255539,21790253,,0,0,0
213545,18291823,,0,0,0
1159027,25007891,,0,0,0
1125373,14312801,,0,0,0
1056170,14259353,,0,0,0
423801,22709191,,0,0,0
2097017,11513517,,0,0,0
1380008,18587071,,0,0,0
1690377,24459687,,0,0,0
883832,22792221,,0,0,0
1482272,18360033,,0,0,0
1579263,24054897,,0,0,0
1051569,2360079,,0,0,0
1867612,7139707,,0,0,0
1652654,24265033,,0,0,0
831096,13666005,,0,0,0
1447199,17451471,,0,0,0
2105710,19467699,,0,0,0
895127,14569671,,0,0,0
1088075,21087511,,0,0,0
1842548,1010885,,0,0,0
333761,25491281,,0,0,0
159620,1853699,,0,0,0
2006466,8145027,,0,0,0
1166978,8346567,,0,0,0
1243028,13063875,,0,0,0
1481757,7855711,,0,0,0
392388,516059,,0,0,0
394976,11591505,,0,0,0
1948697,24243203,,0,0,0
296974,23641545,,0,0,0
1126888,2565223,,0,0,0
659131,14058613,,0,0,0
1391543,13896129,,0,0,0
2075533,12189161,,0,0,0
1266416,24126035,,0,0,0
1577655,24903637,,0,0,0
1825595,15025743,,0,0,0
1004481,21693955,,0,0,0
1567973,17634213,,0,0,0
944755,19775901,,0,0,0
227707,18583271,,0,0,0
1726337,23629863,,0,0,0
723296,24646577,,0,0,0
2099146,15793919,,0,0,0
1012909,23074409,,0,0,0
1881638,6393909,,0,0,0
644547,23969477,,0,0,0
1517440,16598565,,0,0,0
1117366,2514931,,0,0,0
1959927,7486467,,0,0,0
161008,10519817,,0,0,0
1402847,1435361,,0,0,0
292243,3555705,,0,0,0
2285815,5869317,,0,0,0
29358,12155195,,0,0,0
1413856,25480375,,0,0,0
1608212,18288801,,0,0,0
